Название точки,Ссылка,Отзыв,Оценка
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Этот медицинский центр, лучшее, что мы видели в последнее время. Современное, усовершенствованное оборудование для обследований и процедур. Приятное, внимательное отношение мед.персонала, (с большим пониманием отнеслись к нашему, особенному, поведению). Доктор Болдырев В.Г., подобрал нам медикаментозную терапию, совмещаем с посещением барокамеры и эл.магнитов. Барокамера, в этом центре, заслуживает отдельного отзыва. Огромные стекла, удобное большое кресло, абсолютно никакого ощущения дискомфорта, несмотря на замкнутое пространство. Уже год мы пациенты Болдырева В.Г. Прогресс есть, это регулярно подтверждается доктором на обследовании (УЗИ, ЭЭГ), после прохождения курса процедур и назначений. Мы очень рады что пришли, по рекомендации, и доверились Владимиру Геннадьевичу, его видение нашей ситуации, и подход, к улучшению состояния здоровья детей с аутизмом, очень нас удивил. Ранее о подобных методах воздействия на головной мозг и ЦНС мы не слышали. Мы с Вашим центром надолго !)) Очень ценим, доверяем и рекомендуем. Спасибо! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень приятные, вежливые и предусмотрительные сотрудники, легкая и мягкая обстановка в зоне ожидания, что для детей с ОВЗ является одним из немаловажных факторов в подготовке к приему у врача. Мы уже много лет наблюдаемся у Болдырева Владимира Геннадьевича, в нашем случае он был первым врачом, кто не «похоронил» ребенка, не стал «прятаться» за назначениями из клинических рекомендаций, а ответственно подошел к диагностике состояния и продолжает курировать лечение по сей день. Очень нравится деловой подход специалиста к родителям и поиск подхода его же к детям. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Редкий, крутейший и очень ответственный специалист. Видно что Владимир Геннадьевич и вся его команда преданы своему делу и помогают деткам и их родителям вернуть полноценную и достойную жизнь не смотря на тяжёлые удары судьбы. Низкий поклон и огромное спасибо за вашу работу.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Хочу выразить свою благодарность Болдыреву Владимиру Геннадьевичу! Очень грамотный специалист! Очень внимательно отнесся к моей проблеме, провел тщательный осмотр , все четко и грамотно мне объяснил, буду приходить еще на приемы!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Уже более пяти лет посещаем врача Владимира Геннадьевича Болдырева. Моему сыну очень помог, спасибо Вам большое!!!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Мы долго искали своего доктора , перебирали многих врачей . Хочу выразить признательность Владимиру Геннадьевичу за то, что не побоялся взять моего сына , хотя ребенок очень сложный . Считаю , что профессионализм врача заключается в том , что взять и не побояться ответственности , где казалось бы надежды нет. Лечение наше длится уже второй год и после второго курса реабилитации у ребенка произошел очень хороший скачок , дальше будет только лучше. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Сыну 11 лет в Питере в институте Мозга поставили РАС и СДВГ. Назначили лечение на СДВГ препаратами . Проходили год курс у нейропсихологии в центре Лурия , динамика нереальная . У Болдарева были с сыном лет в 5-6 , после лечения изменений я не заметила . В июне проходили в медси обследования МРТ, узи , ээг и назначили дневной сон . Приехали на прием к Болдареву он сказал отменить лечение для СДВГ и лечится только его препаратами . Обсуждение исключения омеги привело к агрессивному поведению врача . Он попросил убрать мой телефон в сумку так как якобы я его записываю . Когда я попросила показать мне в обследованиях узи его диагноз он резко отказался . Дословно я вам не собираюсь ничего объяснять . Полная не компетенция врача . У моего ребенка сейчас все стабильно , учится хорошо , усидчив в спорте все хорошо . Доверять человеку с такой агрессией я как мама не буду . Я доверяю своему внутреннему голосу , а не страху . Пишу для того чтобы люди знали куда идут . Детки все разные у всех свои особенности не позволяйте врачам запугивать вас и на страхе делать как они говорят . Здоровья деткам ❤️ ещё",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Начали наблюдаться у врача еще в 2021 г, с тех пор посещаем регулярно тк динамика видна, в бытовых ситуациях у сына понимания стало больше, хвалят педагоги, потихоньку готовим к школе. Вывел нас врач на уровень, сын пойдёт в школу по обычной программе, на что изначально и не рассчитывали. Процедуры оксигенации для нас были чем то новым, до этого и не слышали про такое, но результат порадовал прогрессом в лечении. Спасибо Болдыреву В. Г., вызывает доверие и уважение. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Следующий пациент был мой муж , запись проверьте . Муж пригласил и когда я попросила разъяснить , где на обследованиях у моего сына жидкость в голове . Врач отказал . Дословно да я вам отказываюсь показать . Муж это все слышал , он тоже отказался у него лечится так как считает такое поведение не компетентным . У моего сына было обширное обследование в Мэдси МРТ узи, там нет у него жидкости . Я потратила время и свои деньги на вашу клинику, на мои вопросы врач отказался отвечать . Ссылаясь на то ,что я не врач и мне нечего объяснять . Считаю Болдарева не компетентным врачем . ещё",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Проходили с дочкой курс ГБО+ТМС в августе, 10 дней. Дочке 1.3 года. Первые несколько дней в кабине было сложно, привыкали к маске и изменению давления. На третий день уже сама бежала с радостью в «космический корабль», как его называют сами сотрудники. С ТМС проще - от 5 до 15 минут посидеть , держа шлем, и сильно не вертеть головой. По результатам: появилась обращенная речь, совместная игра, нормализовался сон, пошли фразы и просьбы. Научилась самостоятельно раскачиваться в детских качелях. Спасибо центру, коллективу за заботу, докторам за грамотные назначения. Терпеливо, небольшими шагами идем к результату! ещё",5.0
